"spkid","full_name","pdes","class","per","e","a","i","om","rot_per","diameter","extent","albedo","GM","BV","UB","IR","spec_B","spec_T"
2000001,"     1 Ceres (A801 AA)",1,MBA,1680.824888338376,.07863575691875528,2.766619044655007,10.58679512153367,80.2664361119415,9.074170,939.4,"964.4 x 964.2 x 891.8",0.090,62.6284,0.713,0.426,,C,G
2000002,"     2 Pallas (A802 FA)",2,MBA,1683.571072571693,.2300843666137877,2.769631683771891,34.92703055687767,172.9181327230064,7.8132214,513,568x532x448,0.155,13.63,0.635,0.284,,B,B
2000003,"     3 Juno (A804 RA)",3,MBA,1593.671114733808,.2564677204100477,2.670136823886984,12.99066178771819,169.8430055504074,7.21,246.596,,0.214,,0.824,0.433,,Sk,S
2000004,"     4 Vesta (A807 FA)",4,MBA,1325.912107727979,.08840189374260063,2.361987199696643,7.140782834645754,103.800809741353,5.34212766,525.4,"572.6 x 557.2 x 446.4",0.4228,17.288245,0.782,0.492,,V,V
2000005,"     5 Astraea (A845 XA)",5,MBA,1512.513050606352,.1879236826133074,2.578697915311269,5.36012854458581,141.5227612479865,16.806,106.699,,0.274,,0.826,0.411,,S,S
2000006,"     6 Hebe (A847 NA)",6,MBA,1379.528428597682,.2027523801509344,2.425240535905143,14.73756422695921,138.6382650853029,7.2745,185.18,,0.2679,,0.822,0.399,,S,S
2000007,"     7 Iris (A847 PA)",7,MBA,1346.940654886791,.2295797335459191,2.386895229097369,5.517355696397636,259.5163426764981,7.139,199.83,,0.2766,,0.855,0.484,,S,S
2000008,"     8 Flora (A847 UA)",8,MBA,1192.722959191231,.1563905607009729,2.2010374647164,5.889199832905338,110.8640034628717,12.865,147.491,,0.226,,0.885,0.489,,,S
2000009,"     9 Metis (A848 HA)",9,MBA,1346.665028089402,.1234286103980273,2.386569594985748,5.576586326365132,68.88388211968476,5.079,190,,0.118,,0.858,0.496,,,S
2000010,"    10 Hygiea (A849 GA)",10,MBA,2032.499593517036,.1111590389319698,3.140181087989518,3.831728408697836,283.1731774437333,13.828,407.12,,0.0717,7.,0.696,0.351,,C,C
2000011,"    11 Parthenope (A850 JA)",11,MBA,1403.547997006189,.0994866159355051,2.453310746657481,4.631432834891115,125.52628507917,13.7204,142.887,,0.191,,0.837,0.417,,Sk,S
2000012,"    12 Victoria (A850 RA)",12,MBA,1301.903712704855,.2205258034777666,2.333387994693481,8.374124398635487,235.3633441620437,8.6599,115.087,,0.163,,0.874,0.515,,L,S
2000013,"    13 Egeria (A850 VA)",13,MBA,1509.766697454079,.08561104644746004,2.575575447452104,16.53667692894841,43.20838518495071,7.045,202.636,,0.049,,0.745,0.452,,Ch,G
2000014,"    14 Irene (A851 KA)",14,MBA,1519.229264325032,.1655041774153686,2.586325968134982,9.119891292944423,86.10783627932626,15.028,152,,0.159,,0.833,0.388,,S,S
2000015,"    15 Eunomia (A851 OA)",15,MBA,1569.488481181793,.1870097614940814,2.643056642941773,11.75360646519442,292.9082617137627,6.083,231.689,,0.248,,0.839,0.451,,S,S
2000016,"    16 Psyche (A852 FA)",16,MBA,1826.641923228639,.1340311546632583,2.924399242206746,3.09692708634344,150.03276205,4.196,226,"279 x 232 x 189",0.1203,1.53,0.729,0.299,,X,M
2000017,"    17 Thetis (A852 HA)",17,MBA,1419.007608388643,.1325702019216001,2.471292767237045,5.592000879973434,125.5399330914491,12.27048,84.899,,0.193,,0.829,0.438,,Sl,S
2000018,"    18 Melpomene (A852 MA)",18,MBA,1270.022291625162,.2181676613693731,2.295136984142636,10.13264674799051,150.3585514521043,11.57,139.594,,0.181,,0.854,0.425,,S,S
2000019,"    19 Fortuna (A852 QA)",19,MBA,1394.436713996244,.1572313095630013,2.442681938855805,1.573409580430073,211.0342501928773,7.4432,200,,0.037,,0.719,0.324,,Ch,G
2000020,"    20 Massalia (A852 SA)",20,MBA,1365.568396909469,.1431529929804763,2.408851459934991,.7089746188916279,205.9630549319736,8.098,135.680,,0.241,,0.854,0.463,,S,S
2000021,"    21 Lutetia (A852 VA)",21,MBA,1387.479828801756,.1635959709999482,2.434550761007071,3.063872210886056,80.85095654499077,8.1655,95.76,,0.2212,,0.686,0.189,,Xk,M
2000022,"    22 Kalliope (A852 WA)",22,MBA,1813.891482451875,.09852992600096179,2.910774643872026,13.69969116607203,65.98689463370992,4.1483,167.536,,0.166,0.491,0.715,0.234,,X,M
2000023,"    23 Thalia (A852 XA)",23,MBA,1557.161307762505,.2311042476418552,2.629198957013175,10.10759139396574,66.49479460804275,12.312,107.53,,0.2536,,0.859,0.442,,S,S
2000024,"    24 Themis (A853 GA)",24,MBA,2044.493813012423,.1177869645313294,3.152522894189453,.745027453835454,36.43638973270833,8.374,198,,0.067,,0.684,0.336,,B,C
2000025,"    25 Phocaea (A853 GB)",25,MBA,1357.867697780826,.2546364611946729,2.399786947031632,21.60897614616059,214.0951784594436,9.9341,61.054,,0.350,,0.932,0.513,,S,S
2000026,"    26 Proserpina (A853 JA)",26,MBA,1579.542692018602,.08907016403093518,2.654332315381334,3.562817592362286,45.76200284497698,13.11,94.80,,0.1966,,0.891,0.525,,S,S
2000027,"    27 Euterpe (A853 VA)",27,MBA,1313.305316049743,.1712783214210356,2.3469915008913,1.58333685341991,94.76846286541657,10.4082,96,,0.215,,0.878,0.502,,S,S
2000028,"    28 Bellona (A854 EA)",28,MBA,1689.310011335841,.1510258093732264,2.775922173568081,9.429067889266397,144.2895087496898,15.706,120.90,,0.1763,,0.845,0.469,,S,S
2000029,"    29 Amphitrite (A854 EB)",29,MBA,1490.619938815876,.07368241308862566,2.553753644986387,6.082784046007665,356.3287236441971,5.3921,189.559,,0.216,,0.838,0.449,,S,S
2000030,"    30 Urania (A854 OA)",30,MBA,1328.552732945348,.1271607651669067,2.365122175983477,2.093948899920443,307.4245774748103,13.686,92.787,,0.192,,0.873,0.459,,Sl,S
2000031,"    31 Euphrosyne (A854 RA)",31,MBA,2052.496154035235,.216280780117437,3.160743717850526,26.32041637054291,30.79790337222047,5.53,267.080,,0.053,,0.687,0.317,,Cb,C
2000032,"    32 Pomona (A854 UA)",32,MBA,1520.626983429125,.08169326789972967,2.58791203690545,5.521760599990619,220.3633246477873,9.448,80.76,,0.2564,,0.857,0.429,,S,S
2000033,"    33 Polyhymnia (A854 UB)",33,MBA,1779.550825809803,.3317390449931833,2.873919812423662,1.852423482389028,8.443896104628127,18.608,52.929,,0.240,,0.848,0.438,,Sq,S
2000034,"    34 Circe (A855 GA)",34,MBA,1608.691633963589,.1065869440890859,2.686888127103706,5.497413220194468,184.3320780307463,12.15,132.992,,0.023,,0.707,0.357,,Ch,C
2000035,"    35 Leukothea (A855 HA)",35,MBA,1894.468422181135,.2242660267614964,2.99635060572127,7.930268090099494,353.7227664725316,31.9,103.055,,0.066,,0.703,0.335,,C,C
2000036,"    36 Atalante (A855 TA)",36,MBA,1661.657669277997,.3060444827562041,2.745546180407888,18.37378954731413,358.1988487463425,9.93,132.842,,0.029,,0.713,0.363,,,C
2000037,"    37 Fides (A855 TB)",37,MBA,1569.628052279036,.1757188473861362,2.643213334693207,3.070720505698731,7.266676225083001,7.3335,108.35,,0.1826,,0.843,0.414,,S,S
2000038,"    38 Leda (A856 AA)",38,MBA,1659.195021747441,.15130722585953,2.742832832229733,6.949741004587897,295.5318559566936,12.838,92.255,,0.055,,0.726,0.419,,Cgh,C
2000039,"    39 Laetitia (A856 CA)",39,MBA,1683.299593284955,.1119502682723483,2.769333936578344,10.37040222054691,156.9355478782417,5.138,179.484,,0.269,,0.898,0.494,,S,S
2000040,"    40 Harmonia (A856 FA)",40,MBA,1247.07165039926,.04628187182698849,2.267402666922519,4.255525048438352,94.16355889294965,8.91,111.251,,0.220,,0.854,0.432,,S,S
2000041,"    41 Daphne (A856 KA)",41,MBA,1675.903740464865,.2743598528251607,2.761216303072276,15.78972759062529,178.0558540940021,5.988,205.495,,0.059,,0.726,0.363,,Ch,C
2000042,"    42 Isis (A856 KB)",42,MBA,1394.501894924553,.2223612791039142,2.442758058020089,8.510586735205138,84.17653065264587,13.59,110.997,,0.139,,0.874,0.462,,L,S
2000043,"    43 Ariadne (A857 GA)",43,MBA,1194.131903612624,.1687372380600838,2.202770490366812,3.470686214684142,264.7605759773312,5.76218,71.340,,0.234,,0.863,0.490,,Sk,S
2000044,"    44 Nysa (A857 KA)",44,MBA,1377.717015165787,.1490104356924827,2.423117068613382,3.711629185846217,131.4981986478843,6.422,70.64,,0.482,,0.703,0.245,,Xc,E
2000045,"    45 Eugenia (A857 MA)",45,MBA,1639.315743876999,.08335408091597644,2.720880419513443,6.605084334457462,147.5916293564249,5.699,202.327,,0.045,,0.676,0.274,,C,FC
2000046,"    46 Hestia (A857 QA)",46,MBA,1465.378379003879,.1727133088630534,2.524842169122663,2.351785092748127,181.0689617779083,21.04,131.471,,0.046,,0.692,0.226,,Xc,P
2000047,"    47 Aglaja (A857 RA)",47,MBA,1785.461961547346,.1299682290901877,2.880280495807646,4.975629059341996,3.051133592782987,13.178,168.174,,0.082,,0.665,0.300,,B,C
2000048,"    48 Doris (A857 SA)",48,MBA,2010.141956769486,.06826916496220843,3.117110521629551,6.559853413803942,183.448690754591,11.89,216.473,,0.065,,0.716,0.442,,Ch,CG
2000049,"    49 Pales (A857 SB)",49,MBA,1992.72466716599,.2216736591823744,3.099078520307899,3.200274461422824,285.029799785524,20.705,166.252,,0.048,,0.749,0.411,,Ch,CG
2000050,"    50 Virginia (A857 TA)",50,MBA,1576.556324263105,.2851517494904713,2.650985645323203,2.839388894857228,173.4670950199534,14.315,84.074,,0.050,,0.703,0.347,,Ch,X
2000051,"    51 Nemausa (A858 BA)",51,MBA,1328.381879639343,.06740392851846436,2.364919400138558,9.979380770268046,175.9549964580445,7.783,138.159,,0.100,,0.789,0.482,,Ch,CU
2000052,"    52 Europa (A858 CA)",52,MBA,1987.792465778494,.1110316791721852,3.093962713453249,7.478466299692107,128.5860844772409,5.6304,303.918,,0.057,,0.679,0.338,,C,CF
2000053,"    53 Kalypso (A858 GA)",53,MBA,1547.845329411808,.2025039895676635,2.618702057553599,5.18100902172014,143.4580176567864,9.036,97.262,,0.028,,0.705,0.318,,,XC
2000054,"    54 Alexandra (A858 RA)",54,MBA,1630.367896436195,.1968029485301262,2.710970502403537,11.79644697981842,313.2318424223208,7.024,160.120,,0.059,,0.727,0.357,,C,C
2000055,"    55 Pandora (A858 RB)",55,MBA,1673.314637030479,.1441160877365395,2.758371701888593,7.181693652225027,10.36173402034004,4.804,84.794,,0.204,,0.704,0.242,,X,M
2000056,"    56 Melete (A857 RB)",56,MBA,1528.525828105678,.2375069375464583,2.596866176238289,8.081899992482217,192.9405372803902,18.147,121.333,,0.057,,0.697,0.312,,Xk,P
2000057,"    57 Mnemosyne (A859 SA)",57,MBA,2044.877979685316,.1086815686363624,3.152917794318729,15.236716632132,198.8972279897108,25.324,112.59,,0.2149,,0.817,0.410,,S,S
2000058,"    58 Concordia (A860 FA)",58,MBA,1619.31199207982,.04496425386646707,2.698700794062435,5.072584201767481,161.0632957445329,9.895,106.517,,0.044,,0.690,0.370,,Ch,C
2000059,"    59 Elpis (A860 RA)",59,MBA,1632.526995845225,.1171758349027823,2.713363403486139,8.649279249416415,169.931112547237,13.671,165.119,,0.044,,0.662,0.285,,B,CP
2000060,"    60 Echo (A860 RB)",60,MBA,1350.939516560117,.1851463577748889,2.391617113541567,3.601154125010549,191.5410554431242,25.208,43.218,,0.373,,0.854,0.452,,S,S
2000061,"    61 Danae (A860 RC)",61,MBA,1884.277484494907,.1644911773238973,2.985595411146833,18.2078774295051,333.5732344396612,11.45,85.937,,0.203,,0.852,0.402,,S,S
2000062,"    62 Erato (A860 RD)",62,MBA,2023.207436339123,.1681085868788899,3.13060295243119,2.236474838473189,125.1203692780741,9.2213,106.921,,0.048,,0.708,0.378,,Ch,BU
2000063,"    63 Ausonia (A861 CA)",63,MBA,1353.175653512669,.1281453239925563,2.394255528783486,5.773897041084761,337.6975088562834,9.298,116.044,,0.125,,0.916,0.500,,Sa,S
2000064,"    64 Angelina (A861 EA)",64,MBA,1603.072979570526,.1258178351333263,2.680628175586972,1.305789857697497,308.9922335080723,8.752,58.292,,0.483,,0.734,0.254,,Xe,E
2000065,"    65 Cybele (A861 EB)",65,OMB,2325.517369574265,.1189683797175154,3.435163721177037,3.563576671716705,155.5262663053863,6.0814,237.26,,0.0706,,0.690,0.271,,Xc,P
2000066,"    66 Maja (A861 GA)",66,MBA,1573.158717448878,.1731223003711591,2.647175549865856,3.045167050059354,7.499325139650705,9.73509,71.82,,0.016,,0.697,0.360,,Ch,C
2000067,"    67 Asia (A861 HA)",67,MBA,1376.930073317287,.1845747596801814,2.422194269621277,6.029304057911569,202.3877690702178,15.853,56.309,,0.228,,0.861,0.434,,S,S
2000068,"    68 Leto (A861 HB)",68,MBA,1696.428204134073,.1847941092357265,2.78371458519036,7.961045433425409,44.05604404567383,14.848,122.509,,0.228,,0.845,0.488,,,S
2000069,"    69 Hesperia (A861 HC)",69,MBA,1874.238762503164,.1701139412491884,2.974981886461726,8.593142479589075,184.9858024840176,5.655,138.13,,0.1402,,0.674,0.230,,X,M
2000070,"    70 Panopaea (A861 JA)",70,MBA,1545.624927956688,.1808969351838156,2.616197086799195,11.59522453228189,47.66127848337565,15.8052,127.911,,0.038,,0.740,0.390,,Ch,C
2000071,"    71 Niobe (A861 PA)",71,MBA,1669.371935661617,.1762608960378276,2.754037107167866,23.24200572022743,315.9259146312265,35.864,83.42,,0.3052,,0.803,0.439,,Xe,S
2000072,"    72 Feronia (A861 KA)",72,MBA,1246.675167644983,.1210019775424957,2.266922056367488,5.41741491883971,207.933515205813,8.097,74.966,,0.083,,0.785,0.375,,,TDG
2000073,"    73 Klytia (A862 GA)",73,MBA,1589.188347643978,.04199796645895765,2.665127333595021,2.369938453381103,6.853806656847473,8.297,44.590,,0.223,,,,,,S
2000074,"    74 Galatea (A862 QA)",74,MBA,1694.410035744386,.2362710409284337,2.781506369413131,4.071921110392765,197.1186878597211,17.268,118.71,,0.0431,,0.686,0.320,,C,C
2000075,"    75 Eurydike (A862 SA)",75,MBA,1597.407559516248,.3036034832851076,2.674308711147882,4.991676389611167,359.3218136025417,5.357,62.377,,0.117,,0.710,0.266,,Xk,M
2000076,"    76 Freia (A862 UA)",76,OMB,2302.634183706095,.1667227443511017,3.412591833927634,2.122736222235436,204.2827218714148,9.973,145.423,,0.058,,0.704,0.298,,X,P
2000077,"    77 Frigga (A862 VA)",77,MBA,1591.15610474625,.1334037356062703,2.66732688054208,2.42289360117368,1.131518405821394,9.0032,61.390,,0.177,,0.746,0.249,,Xe,MU
2000078,"    78 Diana (A863 EA)",78,MBA,1552.28888255082,.2037174658742511,2.623711507795496,8.680804498911618,333.3459359941825,7.2991,120.60,,0.0706,,0.713,0.380,,Ch,C
2000079,"    79 Eurynome (A863 RA)",79,MBA,1395.892826426829,.1907468789798406,2.444382123962189,4.613899582198589,206.521791086055,5.978,63.479,,0.287,,0.874,0.421,,S,S
2000080,"    80 Sappho (A864 JA)",80,MBA,1270.666455367647,.2000256621461529,2.295912991035163,8.67672701139988,218.6486057242201,14.03,68.563,,0.206,,0.901,0.523,,S,S
2000081,"    81 Terpsichore (A864 SA)",81,MBA,1758.643092141349,.2117731709544753,2.851365271409856,7.80534055164707,.9482371172851221,10.943,117.727,,0.045,,0.701,0.346,,Cb,C
2000082,"    82 Alkmene (A864 WA)",82,MBA,1677.411869266138,.2205305705539931,2.762872581778624,2.826246891506607,25.43589070578549,12.999,57.621,,0.167,,0.814,0.380,,Sq,S
2000083,"    83 Beatrix (A865 HA)",83,MBA,1384.937914464628,.08235642444358214,2.431576394358296,4.967357763025276,27.66872057443862,10.111,110.503,,0.050,,0.704,0.266,,X,X
2000084,"    84 Klio (A865 QA)",84,MBA,1325.972277428379,.2361232242779968,2.362058656911473,9.316287348205375,327.5148777354095,23.562,79.16,,0.0527,,0.733,0.445,,Ch,G
2000085,"    85 Io (A865 SA)",85,MBA,1578.56177926745,.1938247315810107,2.653233289278907,11.96131063173197,203.0514494644864,6.875,154.79,,0.0666,,0.668,0.294,,B,FC
2000086,"    86 Semele (A866 AA)",86,MBA,1997.970457668764,.2162402786556111,3.104514960353083,4.821742393219155,86.06863776968237,16.634,109.929,,0.056,,0.703,0.321,,,C
2000087,"    87 Sylvia (A866 KA)",87,OMB,2368.844691871588,.09396728421147393,3.477699937019079,10.87984079062733,73.01038439280863,5.184,253.051,,0.046,,0.710,0.251,,X,P
2000088,"    88 Thisbe (A866 LA)",88,MBA,1682.370703263127,.1617148584205777,2.768315047520088,5.213903134014284,276.4315642509844,6.042,232,,0.0671,,0.681,0.305,,B,CF
2000089,"    89 Julia (A866 PA)",89,MBA,1487.627191968078,.184475252244475,2.550334352708846,16.12605284457733,311.5461776503782,11.387,145.483,,0.189,,0.859,0.442,,K,S
2000090,"    90 Antiope (A866 TA)",90,MBA,2042.445818097556,.1678071345427304,3.150417261588514,2.20695108468663,69.93775985058645,16.509,115.974,,0.058,,0.688,0.317,,C,C
2000091,"    91 Aegina (A866 VA)",91,MBA,1522.355633324381,.107120979574369,2.589872959056095,2.103111842407849,10.43681156080346,6.025,103.402,,0.048,,0.724,0.317,,Ch,CP
2000092,"    92 Undina (A867 NA)",92,MBA,2077.973042012228,.1054342291822191,3.186845345726148,9.919926603318208,101.4063551953754,15.941,126.42,,0.2509,,0.725,0.275,,Xc,X
2000093,"    93 Minerva (A867 QA)",93,MBA,1671.722590902165,.1393134628433028,2.756621821123742,8.557723717315579,4.025726485015984,5.982,154.155,,0.056,,0.685,0.315,,C,CU
2000094,"    94 Aurora (A867 RA)",94,MBA,2047.914968610973,.09526504273806939,3.156038765482805,7.970883981051625,2.550949684444486,7.22,204.89,,0.0395,,0.663,0.301,,C,CP
2000095,"    95 Arethusa (A867 WA)",95,MBA,1961.737595692077,.1536696019622195,3.066867351363361,12.99645703028538,242.9692433503415,8.705,147.969,,0.058,,0.711,0.374,,Ch,C
2000096,"    96 Aegle (A868 DA)",96,MBA,1946.1562812137,.1416156029028096,3.050606492804623,15.97981159427199,321.4929298520963,13.868,177.774,,0.048,,0.775,0.337,,T,T
2000097,"    97 Klotho (A868 DB)",97,MBA,1591.152484461406,.2579554146283966,2.667322834642494,11.77962305400199,159.6200457134816,35.15,100.717,,0.128,,0.716,0.226,,,M
2000098,"    98 Ianthe (A868 HA)",98,MBA,1609.005623667017,.1874644946807923,2.687237739482768,15.57610229916748,353.8967561228469,16.479,132.788,,0.029,,0.749,0.375,,Ch,CG
2000099,"    99 Dike (A868 KA)",99,MBA,1586.955510253605,.1972054872645126,2.662630381682158,13.86481128548998,41.40736623045607,18.127,67.354,,0.065,,0.703,0.322,,Xk,C
2000100,"   100 Hekate (A868 NA)",100,MBA,1981.420724953658,.1687212923218013,3.087347510622768,6.432940828593592,127.1714478642968,27.066,85.734,,0.205,,0.838,0.363,,S,S
